Animal_Type,DOB,Primary_Color,Secondary_Color,Sex,Intake_Date,Intake_Condition,Intake_Type,Outcome_Date,Outcome_Type,Intake_Age,Outcome_Age,Time_in_Shelter_Days,Intake_Age_Days,Breed,Shelter_Name
DOG,2013-02-21,WHITE,None,Female,2023-02-20,ILL MILD,STRAY,2023-02-26,EUTHANASIA,3651 days,3657 days,6 days,3651,Unknown,Long Beach California Animal Shelter
CAT,2014-12-18,BLACK,WHITE,Female,2018-12-18,INJURED  SEVERE,STRAY,2019-01-13,RESCUE,1461 days,1487 days,26 days,1461,Unknown,Long Beach California Animal Shelter
CAT,2016-01-30,GRAY,None,Neutered,2019-01-30,FRACTIOUS,STRAY,2019-02-06,ADOPTION,1096 days,1103 days,7 days,1096,Unknown,Long Beach California Animal Shelter
RABBIT,2023-04-19,BLACK,WHITE,Neutered,2024-10-18,NORMAL,STRAY,2024-11-15,ADOPTION,548 days,576 days,28 days,548,Unknown,Long Beach California Animal Shelter
DOG,2015-08-12,BLUE MERLE,WHITE,Male,2017-08-12,NORMAL,STRAY,2017-08-12,TRANSFER,731 days,731 days,0 days,731,Unknown,Long Beach California Animal Shelter
OTHER,2019-04-12,GRAY,BLACK,Unknown,2019-06-12,UNDER AGE/WEIGHT,WILDLIFE,2019-06-12,RESCUE,61 days,61 days,0 days,61,Unknown,Long Beach California Animal Shelter
CAT,2017-08-21,GRAY TABBY,None,Unknown,2017-09-21,UNDER AGE/WEIGHT,STRAY,2017-09-23,RESCUE,31 days,33 days,2 days,31,Unknown,Long Beach California Animal Shelter
CAT,2017-08-21,BLACK,None,Unknown,2017-09-21,UNDER AGE/WEIGHT,STRAY,2017-09-23,RESCUE,31 days,33 days,2 days,31,Unknown,Long Beach California Animal Shelter
CAT,2015-01-11,GRAY TABBY,None,Female,2018-01-11,NORMAL,STRAY,2018-01-17,TRANSFER,1096 days,1102 days,6 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2020-08-10,BLACK,WHITE,Unknown,2020-08-12,UNDER AGE/WEIGHT,STRAY,2020-08-13,RESCUE,2 days,3 days,1 days,2,Unknown,Long Beach California Animal Shelter
CAT,2020-08-10,TORTIE,None,Unknown,2020-08-12,UNDER AGE/WEIGHT,STRAY,2020-08-13,RESCUE,2 days,3 days,1 days,2,Unknown,Long Beach California Animal Shelter
CAT,2020-08-10,GRAY TABBY,None,Unknown,2020-08-12,UNDER AGE/WEIGHT,STRAY,2020-08-13,RESCUE,2 days,3 days,1 days,2,Unknown,Long Beach California Animal Shelter
