Breed,Sex,DOB,Intake_Date,Outcome_Date,Intake_Type,Animal_Type,Outcome_Type,Intake_Condition,Time_in_Shelter_Days,Primary_Color,Secondary_Color,Outcome_Age,Shelter_Name,Intake_Age
MALTESE/POODLE TOY,Spayed,2014-10-06,2023-07-05,2023-08-08,STRAY,DOG,adoption,UNKNOWN,34,white,none,3228,Sonoma County Animal Shelter,3194
DOMESTIC SH,Spayed,2023-05-07,2023-05-30,2023-08-08,STRAY,CAT,adoption,UNKNOWN,70,org tabby,white,93,Sonoma County Animal Shelter,23
DOMESTIC SH,Female,2012-07-15,2023-07-15,2023-08-08,STRAY,CAT,transfer,UNKNOWN,24,brn tabby,white,4041,Sonoma County Animal Shelter,4017
POODLE MIN,Neutered,1900-01-01,2023-04-25,2023-07-19,STRAY,DOG,adoption,UNKNOWN,85,white,none,NaT,Sonoma County Animal Shelter,45039
PUG,Male,2021-08-11,2023-08-08,2023-08-08,STRAY,DOG,return to owner,HEALTHY,0,fawn,none,727,Sonoma County Animal Shelter,727
SIBERIAN HUSKY/MIX,Neutered,2020-05-10,2022-04-05,2022-07-05,STRAY,DOG,adoption,HEALTHY,91,white,none,786,Sonoma County Animal Shelter,695
DOMESTIC SH,Spayed,2020-08-03,2023-08-03,2023-08-08,QUARANTINE,CAT,disposal,UNKNOWN,5,gray tabby,none,1100,Sonoma County Animal Shelter,1095
DOMESTIC SH,Neutered,2010-08-10,2023-07-01,2023-08-08,STRAY,CAT,transfer,UNKNOWN,38,black,none,4746,Sonoma County Animal Shelter,4708
SHIH TZU/POODLE MIN,Spayed,2008-08-31,2023-08-08,2023-08-08,STRAY,DOG,return to owner,UNKNOWN,0,brown,none,5455,Sonoma County Animal Shelter,5455
GERM SHEPHERD/SIBERIAN HUSKY,Male,2022-10-28,2023-08-06,2023-08-08,STRAY,DOG,return to owner,UNKNOWN,2,black,tan,284,Sonoma County Animal Shelter,282
DOMESTIC SH,Neutered,2023-05-22,2023-06-13,2023-08-08,STRAY,CAT,adoption,UNKNOWN,56,black,none,78,Sonoma County Animal Shelter,22
DOMESTIC LH,Male,2022-02-12,2023-07-01,2023-08-08,STRAY,CAT,transfer,UNKNOWN,38,brn tabby,none,542,Sonoma County Animal Shelter,504
DOMESTIC MH,Male,1900-01-01,2023-07-26,2023-08-09,STRAY,CAT,transfer,TREATABLE/REHAB,14,brn tabby,none,NaT,Sonoma County Animal Shelter,45131
PIT BULL/MIX,Neutered,2019-08-13,2023-07-05,2023-08-09,STRAY,DOG,euthanize,HEALTHY,35,gray,white,1457,Sonoma County Animal Shelter,1422
DOMESTIC SH,Male,2015-08-09,2023-08-08,2023-08-09,STRAY,CAT,euthanize,UNKNOWN,1,brn tabby,white,2922,Sonoma County Animal Shelter,2921
PIT BULL/MIX,Spayed,2015-04-09,2017-09-28,2017-10-03,CONFISCATE,DOG,return to owner,UNKNOWN,5,red,white,908,Sonoma County Animal Shelter,903
LABRADOR RETR/MIX,Spayed,2019-07-18,2023-08-06,2023-08-09,CONFISCATE,DOG,return to owner,HEALTHY,3,brown,none,1483,Sonoma County Animal Shelter,1480
